user_id,gender,region,employer_name,income,pay_type
1,Male,West,Company B,68784.25,Monthly
2,Unknown,West,Company B,52419.49,Weekly
3,Female,East,Company D,59661.86,Daily
4,Female,Unknown,Company B,51229.83,Weekly
5,Male,North,Company D,23714.34,Monthly
6,Male,North,Company A,49855.03,Monthly
7,Male,West,Company D,60085.84,Weekly
8,Female,South,Company D,52499.84,Unknown
9,Female,West,Company A,67714.85,Monthly
10,Female,West,Company B,56049.12,Weekly
11,Male,North,Company A,35499.47,Weekly
12,Unknown,West,Company C,49855.03,Monthly
13,Female,South,Company C,51543.76,Weekly
14,Male,East,Company C,49855.03,Monthly
15,Male,East,Company A,75101.63,Weekly
16,Male,West,Company A,56626.2,Monthly
17,Male,North,Company A,68405.52,Weekly
18,Female,South,Company B,26290.94,Monthly
19,Male,East,Company C,68668.48,Unknown
20,Male,East,Company D,83472.48,Monthly
21,Female,East,Company C,30186.82,Daily
22,Male,North,Company B,61571.03,Daily
23,Male,South,Unknown,50016.65,Unknown
24,Male,South,Company C,26833.49,Weekly
25,Female,West,Company D,57393.26,Weekly
26,Female,South,Company C,62504.05,Monthly
27,Male,North,Company B,40983.1,Monthly
28,Female,Unknown,Company A,67488.75,Weekly
29,Female,North,Company C,24998.55,Monthly
30,Male,Unknown,Company A,27578.66,Unknown
31,Female,East,Company B,52048.96,Monthly
32,Male,West,Company C,50380.78,Weekly
33,Male,South,Company C,39251.4,Weekly
34,Other,North,Company C,62143.92,Weekly
35,Unknown,East,Company A,57963.41,Weekly
36,Female,West,Company B,62872.09,Monthly
37,Male,East,Company C,48152.95,Weekly
38,Male,North,Unknown,49855.03,Monthly
39,Female,West,Company C,49855.03,Daily
40,Male,West,Company D,80807.28,Weekly
41,Male,East,Company D,37811.81,Unknown
42,Female,West,Company C,81579.46,Monthly
43,Male,West,Company A,50523.32,Monthly
44,Other,East,Company C,29367.34,Monthly
45,Male,North,Company C,49855.03,Monthly
46,Female,South,Company C,51888.52,Monthly
47,Male,North,Company B,62766.86,Weekly
48,Female,South,Company C,68357.84,Monthly
49,Female,South,Company B,55069.33,Weekly
50,Male,North,Company C,41116.39,Daily
51,Unknown,South,Company A,64635.7,Weekly
52,Female,North,Company D,50011.33,Monthly
53,Other,West,Company A,60287.87,Monthly
54,Female,West,Company A,17694.04,Weekly
55,Female,North,Company B,56704.73,Monthly
56,Other,Unknown,Company C,40421.21,Weekly
57,Male,East,Company B,49855.03,Monthly
58,Male,South,Company B,59346.31,Daily
59,Male,North,Company C,53597.87,Weekly
60,Male,East,Company B,57294.65,Weekly
61,Male,West,Company D,35023.39,Monthly
62,Male,East,Company D,74348.85,Monthly
63,Female,North,Company C,79870.56,Weekly
64,Male,North,Company B,55893.7,Weekly
65,Male,South,Company C,73856.05,Monthly
66,Female,South,Company A,41462.78,Monthly
67,Male,North,Company B,38043.3,Monthly
68,Female,South,Company B,49855.03,Weekly
69,Male,West,Company D,56524.12,Monthly
70,Unknown,West,Company A,44090.2,Weekly
71,Female,South,Company C,58066.52,Weekly
72,Male,West,Company C,54595.84,Weekly
73,Male,South,Company B,35025.4,Daily
74,Female,South,Company A,57781.9,Daily
75,Female,North,Unknown,62952.92,Weekly
76,Female,East,Company C,52572.04,Monthly
77,Female,Unknown,Company C,67289.72,Weekly
78,Male,East,Company A,31738.94,Weekly
79,Male,South,Company B,57019.26,Weekly
80,Male,East,Company B,32445.79,Weekly
81,Female,North,Company A,33288.78,Monthly
82,Female,West,Company A,40536.04,Weekly
83,Male,East,Company D,35869.1,Monthly
84,Male,South,Company A,41780.06,Weekly
85,Male,East,Company A,46787.75,Monthly
86,Male,East,Company C,62557.32,Weekly
87,Female,North,Company D,45182.61,Monthly
88,Female,East,Company A,26215.61,Weekly
89,Female,North,Company C,67101.02,Weekly
90,Female,East,Company A,37443.65,Monthly
91,Male,West,Company A,49119.19,Weekly
92,Female,West,Company A,56698.05,Weekly
93,Female,East,Company D,52994.16,Weekly
94,Female,East,Company A,66412.69,Monthly
95,Female,North,Company A,57185.05,Weekly
96,Female,West,Company B,37080.36,Weekly
97,Female,South,Company D,82678.43,Weekly
98,Male,South,Company B,52915.0,Weekly
99,Male,South,Company B,47789.9,Weekly
100,Male,North,Company A,64458.88,Monthly
101,Male,East,Company B,53741.76,Monthly
102,Female,North,Company C,55988.42,Monthly
103,Male,East,Company C,87382.76,Monthly
104,Female,South,Company B,45873.18,Weekly
105,Other,North,Company B,45233.59,Weekly
106,Male,East,Company A,51748.68,Monthly
107,Male,North,Company B,66072.74,Unknown
108,Female,South,Company A,27401.99,Weekly
109,Male,East,Company D,20516.66,Daily
110,Male,North,Unknown,41193.27,Weekly
111,Male,West,Unknown,25491.16,Weekly
112,Male,North,Company D,43627.53,Monthly
113,Other,North,Company C,57537.5,Monthly
114,Female,East,Company C,36638.77,Monthly
115,Female,South,Company B,28597.6,Weekly
116,Female,North,Company C,51040.06,Monthly
117,Female,South,Company B,62938.15,Weekly
118,Male,South,Company B,24575.4,Monthly
119,Female,West,Company D,62303.49,Daily
120,Female,South,Company B,62259.59,Monthly
121,Female,West,Company B,64311.28,Monthly
122,Female,West,Company D,49855.03,Monthly
123,Male,South,Company A,83030.21,Weekly
124,Male,West,Company B,44658.62,Monthly
125,Male,South,Company D,51643.57,Weekly
126,Male,Unknown,Company C,43753.42,Monthly
127,Female,North,Company C,50029.65,Monthly
128,Female,East,Company A,72993.1,Daily
129,Male,South,Company B,49855.03,Monthly
130,Female,South,Company D,37084.25,Daily
131,Male,East,Company C,70657.71,Unknown
132,Male,East,Company C,65300.55,Monthly
133,Male,North,Company A,44553.03,Monthly
134,Male,North,Company A,62816.03,Monthly
135,Other,East,Unknown,55118.24,Weekly
136,Male,East,Company B,72504.12,Weekly
137,Female,Unknown,Company C,51117.64,Weekly
138,Female,West,Company A,65384.48,Weekly
139,Male,Unknown,Company C,89630.18,Monthly
140,Unknown,East,Company D,58971.49,Daily
141,Unknown,South,Company C,50739.92,Weekly
142,Male,North,Company A,60836.7,Weekly
143,Female,West,Company C,44520.79,Daily
144,Male,East,Company D,85819.52,Weekly
145,Male,North,Company B,52701.07,Monthly
146,Male,South,Company D,45906.0,Weekly
147,Female,Unknown,Company C,49855.03,Weekly
148,Female,East,Company D,66458.3,Monthly
149,Male,South,Company C,63007.81,Unknown
150,Male,South,Company A,42539.68,Monthly
151,Other,North,Company B,49855.03,Weekly
152,Male,South,Company A,27371.66,Weekly
153,Male,South,Company D,52774.56,Monthly
154,Female,North,Company D,56791.35,Daily
155,Unknown,West,Company C,75609.95,Daily
156,Male,South,Company B,38437.72,Weekly
157,Female,West,Company A,30824.71,Monthly
158,Female,West,Company D,36568.58,Monthly
159,Male,North,Company B,49855.03,Monthly
160,Female,East,Company A,70049.86,Monthly
161,Male,South,Company C,73229.59,Weekly
162,Female,West,Company A,54803.25,Unknown
163,Female,North,Company B,68319.42,Weekly
164,Female,East,Company B,52009.38,Daily
165,Male,East,Company A,48573.33,Weekly
166,Female,South,Unknown,45004.44,Weekly
167,Male,North,Company A,45344.14,Daily
168,Male,East,Company A,26782.98,Weekly
169,Male,East,Company A,53963.82,Daily
170,Female,South,Company D,49394.99,Monthly
171,Female,East,Company B,61180.41,Monthly
172,Male,South,Company C,51402.85,Daily
173,Female,East,Company A,47559.44,Weekly
174,Male,North,Company A,36932.1,Daily
175,Female,West,Company B,51082.3,Daily
176,Male,South,Company D,61073.56,Monthly
177,Female,South,Company D,32849.92,Weekly
178,Male,North,Company A,51312.11,Monthly
179,Other,North,Company C,53495.64,Weekly
180,Male,East,Company D,39229.03,Weekly
181,Male,South,Company B,41182.16,Monthly
